metric,improvement,ci_low,ci_high,probability_improvement
roc_auc,-0.009283020332151448,-0.012510719328796166,-0.005977407783077519,0.0
average_precision,-0.011666223075034177,-0.01762394812534125,-0.00502576269862745,0.0
brier_score,-0.0026638841146748027,-0.0034459125805188255,-0.0019556906134030696,0.0
exposure_capture_at_10pct,-0.059313297271728516,-0.07706199064850808,-0.04238117188215256,0.0
