fold,model,roc_auc,average_precision,brier_score,ece_10,calibration_intercept,calibration_slope,recall_at_10pct,exposure_capture_at_10pct,training_seconds
1,Histogram gradient boosting,0.7865141612124557,0.550550997733491,0.13424983531980866,0.011356302015441546,0.05238277674431996,1.0411908453505112,0.3123869801084991,0.43317991495132446,0.299450199000006
1,LSTM,0.7747328098312329,0.518272867400233,0.13804848889792437,0.011159798083752566,0.047580326367678547,1.0445263243492706,0.29159132007233274,0.3546241521835327,2.1273385299999745
1,TCN,0.7778508991902041,0.5351041989774121,0.13714097462950361,0.009666132723620222,0.07847576225736339,1.0715565058909329,0.29520795660036164,0.3406549394130707,2.9314591389999975
1,Transformer,0.7717899390354335,0.5082598609553778,0.1402594919799878,0.016001492801654648,0.06553754529682568,1.0605364164546116,0.28526220614828207,0.3329229950904846,3.261366434000024
2,Histogram gradient boosting,0.7822871185883415,0.5591507645851864,0.13402209764613596,0.0036796420062589074,0.0036863788163568655,1.0000820856720003,0.3141952983725136,0.40189945697784424,0.3984327770000107
2,LSTM,0.7717452999514254,0.5332167778370673,0.13734553718590442,0.012542637376854189,0.018891418881322893,1.0154661673251957,0.2965641952983725,0.34367120265960693,2.1694586429999845
2,TCN,0.7737243090171646,0.5509733394593875,0.1361532512645306,0.013738572579048688,0.006944192964423902,1.0028498039793383,0.30831826401446655,0.36152148246765137,2.953546648000014
2,Transformer,0.7718953255855208,0.5238889968541551,0.13855088798473855,0.0076657702576411815,-0.018689710052442514,0.9933865723728125,0.29204339963833637,0.32429081201553345,3.2657856950000053
3,Histogram gradient boosting,0.7838742150719193,0.5597498155255274,0.13326020874018193,0.010110838567507057,-0.021612163761595714,0.9619949911615193,0.3178119349005425,0.3794845640659332,0.336278238999995
3,LSTM,0.7679984322335748,0.5282481521913832,0.13797317881068988,0.008279961132919518,-0.0071103243388564935,0.9661212980801511,0.298372513562387,0.3270668685436249,2.177220742000003
3,TCN,0.7737924286076506,0.5481015093593036,0.1362295681561167,0.013501692358814515,-0.0020573142751404974,0.9654715531997663,0.3141952983725136,0.3425891101360321,2.9044911969999987
3,Transformer,0.7699062741770851,0.5224929966694574,0.13859131589168136,0.010177271317054135,0.01571310326973322,0.9869384210009823,0.30063291139240506,0.31886953115463257,3.261325322999994
