months_available,roc_auc,average_precision,brier_score
1,0.7399309325465193,0.5085353037937866,0.14080336309775032
2,0.7468019072891955,0.5123089341794582,0.14029014028336295
3,0.7518810204392697,0.5177549863027178,0.13950549172228421
4,0.75434000124249,0.5203796010902086,0.13916395277089033
5,0.7558677530920612,0.5230445310611271,0.1388201942706131
6,0.7570828830081137,0.5250553676912434,0.13863893175099437
