model,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,brier_score,recall_at_10pct,exposure_capture_at_10pct
Histogram gradient boosting,0.7860535324330647,0.7802567057025751,0.7923977125337612,0.559431414571745,0.13340569645305211,0.3178119349005425,0.4128331191206723
Logistic full history,0.7570828830081137,0.7507032949927048,0.7647785470943901,0.5250553676912434,0.13863893175099437,0.31103074141048825,0.31743690790739165
Logistic latest month,0.7399309551208285,0.7338567601726413,0.7474841046343472,0.5085353383660719,0.14080336288403947,0.31690777576853524,0.3704433384766732
