control,roc_auc,average_precision,brier_score
chronological,0.7570828830081137,0.5250553676912434,0.13863893175099437
reversed,0.7570828701085084,0.5250553244529537,0.13863893163745222
shared_random_permutation,0.7570828507591005,0.5250553046216504,0.13863893213299702
