dimension,group,n,default_rate,roc_auc,brier_score,mean_score,recall_at_10pct,exposure_capture_at_10pct
sex,female,18112,0.20776280918727916,0.7867525271233394,0.1273859486501039,0.2127151741085479,0.33510496943927714,0.43181880069983364
sex,male,11888,0.2416722745625841,0.7834125704944326,0.14257710225781306,0.23198132498264337,0.2951618517229377,0.3867222476003867
age_band,18-29,9618,0.22842586816385943,0.7872477058761941,0.13587427453429066,0.23059666192876194,0.30996813837050524,0.3644436870033451
age_band,30-44,15096,0.20833333333333334,0.7844676839543131,0.12846347940154876,0.20848540497497764,0.3322734499205087,0.43722821758559655
age_band,45-59,4947,0.2421669698807358,0.7853083582444467,0.1414049628673582,0.23410468851568758,0.3030050083472454,0.4273140060471956
age_band,60+,339,0.2831858407079646,0.7688614540466392,0.1667170642187457,0.2572299788421305,0.25,0.28885951608852556
